model_id,model,P_vector,model_average_fidelity,model_average_fidelity_gauge
20260213_143415_perturbed_494,"[[[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.0, 0.461354, 0.506721]",0.756244,
20260213_143415_perturbed_495,"[[[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.401465, 0.718774, 0.855474]",0.607138,
20260213_143415_perturbed_496,"[[[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.811232, 0.759377, 0.825499]",0.740747,
20260213_143415_perturbed_497,"[[[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.995091, 0.580296, 0.552228]",0.835,
20260213_143415_perturbed_498,"[[[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.333559, 0.719045, 0.905184]",0.580331,
20260213_143415_perturbed_499,"[[[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.431151, 0.792487, 0.918152]",0.61393,
20260213_143415_perturbed_500,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.090048, 0.398732, 0.734995]",0.655812,
20260213_143415_perturbed_501,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.078079, 0.514256, 0.577183]",0.591556,
20260213_143415_perturbed_502,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.615719, 0.161225, 0.372663]",0.790393,
20260213_143415_perturbed_503,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.79343, 0.197184, 0.337479]",0.848094,
20260213_143415_perturbed_504,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.337017, 0.800044, 0.808726]",0.759985,
20260213_143415_perturbed_505,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.193345, 0.428004, 0.700291]",0.610878,
20260213_143415_perturbed_506,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.295104, 0.253417, 0.297425]",0.744487,
20260213_143415_perturbed_507,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.606668, 0.192218, 0.192447]",0.838741,
20260213_143415_perturbed_508,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.113535, 0.536124, 0.609245]",0.584071,
20260213_143415_perturbed_509,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.089863, 0.465615, 0.529344]",0.61767,
20260213_143415_perturbed_510,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.090048, 0.919406, 0.078449]",0.559066,
20260213_143415_perturbed_511,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.078079, 0.914439, 0.100674]",0.494811,
20260213_143415_perturbed_512,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.615719, 0.414442, 0.556265]",0.693648,
20260213_143415_perturbed_513,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.79343, 0.237421, 0.728909]",0.751349,
20260213_143415_perturbed_514,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.337017, 0.623055, 0.418404]",0.66324,
20260213_143415_perturbed_515,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.193345, 0.803327, 0.206596]",0.514133,
20260213_143415_perturbed_516,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.295104, 0.733141, 0.24354]",0.647742,
20260213_143415_perturbed_517,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.606668, 0.433473, 0.525919]",0.741995,
20260213_143415_perturbed_518,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.113535, 0.873966, 0.145713]",0.487326,
20260213_143415_perturbed_519,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.089863, 0.908931, 0.099926]",0.520925,
20260213_143415_perturbed_520,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.090048, 0.304463, 0.210801]",0.708984,
20260213_143415_perturbed_521,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.078079, 0.183441, 0.273866]",0.644729,
20260213_143415_perturbed_522,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.615719, 0.183255, 0.379752]",0.843566,
20260213_143415_perturbed_523,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.79343, 0.373447, 0.487218]",0.901267,
20260213_143415_perturbed_524,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.337017, 0.6597, 0.696291]",0.813157,
20260213_143415_perturbed_525,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.193345, 0.209749, 0.359586]",0.664051,
20260213_143415_perturbed_526,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.295104, 0.10357, 0.146052]",0.79766,
20260213_143415_perturbed_527,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.606668, 0.288819, 0.264242]",0.891913,
20260213_143415_perturbed_528,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.113535, 0.198848, 0.337374]",0.637244,
20260213_143415_perturbed_529,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.089863, 0.146095, 0.233722]",0.670842,
20260213_143415_perturbed_530,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.090048, 0.783153, 0.163688]",0.666147,
20260213_143415_perturbed_531,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.078079, 0.740899, 0.333072]",0.601892,
20260213_143415_perturbed_532,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.615719, 0.634296, 0.636782]",0.800729,
20260213_143415_perturbed_533,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.79343, 0.518528, 0.692021]",0.85843,
20260213_143415_perturbed_534,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.337017, 0.291349, 0.398057]",0.77032,
20260213_143415_perturbed_535,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.193345, 0.645757, 0.35915]",0.621214,
20260213_143415_perturbed_536,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.295104, 0.876665, 0.451177]",0.754823,
20260213_143415_perturbed_537,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.606668, 0.75068, 0.580889]",0.849076,
20260213_143415_perturbed_538,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.113535, 0.676524, 0.36839]",0.594406,
20260213_143415_perturbed_539,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.8766198323055332+0.2837568951994944j), (0.12751951208736392-0.36709463095006184j)], [(0.3215853668996567-0.21818007661419228j), (0.5009610472650504+0.7733164520994891j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.089863, 0.783589, 0.343869]",0.628005,
20260213_143415_perturbed_540,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.090048, 0.268161, 0.373552]",0.718114,
20260213_143415_perturbed_541,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.078079, 0.181542, 0.429463]",0.653859,
20260213_143415_perturbed_542,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.615719, 0.165686, 0.310776]",0.852696,
20260213_143415_perturbed_543,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.79343, 0.358433, 0.35123]",0.910397,
20260213_143415_perturbed_544,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.337017, 0.680819, 0.834925]",0.822287,
20260213_143415_perturbed_545,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.193345, 0.198209, 0.504751]",0.673181,
20260213_143415_perturbed_546,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.295104, 0.083838, 0.154025]",0.80679,
20260213_143415_perturbed_547,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.606668, 0.266731, 0.143806]",0.901043,
20260213_143415_perturbed_548,"[[[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.113535, 0.202166, 0.494132]",0.646373,
